('Total Revenue', 'Total Revenue', '270,010,000', '245,122,000', '211,915,000', '198,270,000', '168,088,000')
         789477 function calls (764990 primitive calls) in 1.951 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1478    0.002    0.000    0.002    0.000 __init__.py:906(_linkage_fixer)
     1443    0.000    0.000    0.001    0.000 enum.py:1507(_get_value)
     1396    0.000    0.000    0.000    0.000 _connection.py:224(their_state)
 1320/953    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
     1256    0.000    0.000    0.000    0.000 typing.py:1388(__eq__)
 1136/195    0.004    0.000    0.053    0.000 _parser.py:456(_parse_sub)
     1131    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
     1131    0.002    0.000    0.002    0.000 {built-in method posix.stat}
     1123    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1030(__exit__)
     1123    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1026(__enter__)
     1086    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
     1032    0.000    0.000    0.001    0.000 _parser.py:172(__setitem__)
     1014    0.001    0.000    0.001    0.000 _parser.py:316(_class_escape)
     1001    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
      953    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
      952    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
      886    0.000    0.000    0.001    0.000 contextlib.py:299(helper)
      886    0.000    0.000    0.001    0.000 contextlib.py:132(__enter__)
      886    0.001    0.000    0.001    0.000 contextlib.py:104(__init__)
      885    0.001    0.000    0.001    0.000 contextlib.py:141(__exit__)
      876    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
      874    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      864    0.000    0.000    0.000    0.000 typing.py:1381(<genexpr>)
      861    0.000    0.000    0.000    0.000 {built-in method fromkeys}
      802    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:405(parent)
  781/774    0.006    0.000    0.045    0.000 {built-in method builtins.__build_class__}
      767    0.000    0.000    0.001    0.000 _parser.py:376(_escape)
      767    0.000    0.000    0.000    0.000 _parser.py:83(groups)
      754    0.001    0.000    0.004    0.000 {method 'sub' of 're.Pattern' objects}
      752    0.000    0.000    0.001    0.000 _parser.py:453(_uniq)
      736    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      727    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
      714    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
      712    0.000    0.000    0.001    0.000 _compiler.py:398(_simple)
      710    0.000    0.000    0.000    0.000 filter.py:259(_base_match)
      693    0.001    0.000    0.001    0.000 _compiler.py:216(_compile_charset)
      693    0.004    0.000    0.006    0.000 _compiler.py:243(_optimize_charset)
      682    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
      623    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      608    0.000    0.000    0.000    0.000 ssl.py:1145(_checkClosed)
   607/12    0.000    0.000    0.189    0.016 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
      606    0.000    0.000    0.000    0.000 _receivebuffer.py:60(__len__)
      592    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
      590    0.000    0.000    0.001    0.000 typing.py:159(_type_convert)
      587    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1424(_path_importer_cache)
      563    0.001    0.000    0.007    0.000 _connection.py:438(next_event)
      563    0.001    0.000    0.004    0.000 _connection.py:410(_extract_next_receive_event)
  554/347    0.000    0.000    0.000    0.000 typing.py:1394(__hash__)
      552    0.000    0.000    0.000    0.000 _receivebuffer.py:77(maybe_extract_at_most)
      548    0.000    0.000    0.000    0.000 enum.py:828(__setattr__)
      531    0.001    0.000    0.002    0.000 typing.py:168(_type_check)
  528/527    0.001    0.000    0.002    0.000 _readers.py:156(__call__)
      516    0.000    0.000    0.000    0.000 enum.py:48(_is_dunder)
      514    0.000    0.000    0.000    0.000 _decoders.py:237(decode)
      513    0.000    0.000    0.000    0.000 enum.py:1095(__new__)
      513    0.000    0.000    0.001    0.000 enum.py:688(__call__)
      507    0.003    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:1607(find_spec)
      507    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:71(_relax_case)
      501    0.000    0.000    0.000    0.000 filter.py:292(matches_string)
      496    0.001    0.000    0.002    0.000 css_types.py:41(__init__)
      487    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
      486    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:392(cached)
      484    0.000    0.000    0.000    0.000 css_types.py:73(__hash__)
      476    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:437(cache_from_source)
      476    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
      462    0.000    0.000    0.000    0.000 typing.py:1687(__eq__)
      462    0.000    0.000    0.000    0.000 enum.py:79(_is_private)
      462    0.000    0.000    0.000    0.000 enum.py:59(_is_sunder)
      437    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
      437    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:125(release)
      437    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:100(acquire)
      421    0.000    0.000    0.001    0.000 _parser.py:265(getwhile)
      419    0.000    0.000    0.000    0.000 enum.py:38(_is_descriptor)
      418    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
