('Total Revenue', 'Total Revenue', '270,010,000', '245,122,000', '211,915,000', '198,270,000', '168,088,000')
         724931 function calls (705695 primitive calls) in 7.315 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      266    0.002    0.000    0.369    0.001 {method 'read' of '_io.BufferedReader' objects}
    15339    0.002    0.000    0.002    0.000 {method 'end' of 're.Match' objects}
     1058    0.002    0.000    0.002    0.000 {built-in method posix.stat}
     2800    0.002    0.000    0.002    0.000 __init__.py:558(popTag)
    11754    0.002    0.000    0.002    0.000 _parser.py:256(match)
     2004    0.002    0.000    0.003    0.000 __init__.py:91(_replace_charref)
     2800    0.002    0.000    0.006    0.000 parser.py:345(check_for_whole_start_tag)
      472    0.002    0.000    0.002    0.000 css_types.py:41(__init__)
     2799    0.002    0.000    0.016    0.000 __init__.py:763(handle_endtag)
    10236    0.002    0.000    0.002    0.000 {built-in method builtins.min}
     5879    0.002    0.000    0.002    0.000 _parser.py:176(append)
     2677    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
      206    0.001    0.000    0.001    0.000 {built-in method _io.open_code}
     9699    0.001    0.000    0.002    0.000 _parser.py:164(__len__)
     3009    0.001    0.000    0.006    0.000 element.py:2303(search)
      321    0.001    0.000    0.078    0.000 __init__.py:280(_compile)
        1    0.001    0.001    0.003    0.003 serializer.py:1(<module>)
     2282    0.001    0.000    0.001    0.000 {method 'findall' of 're.Pattern' objects}
     1478    0.001    0.000    0.001    0.000 __init__.py:648(_linkage_fixer)
      311    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:124(setdefault)
      735    0.001    0.000    0.004    0.000 {method 'sub' of 're.Pattern' objects}
6367/6299    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
      258    0.001    0.000    0.012    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
       16    0.001    0.000    0.003    0.000 enum.py:1708(convert_class)
    209/1    0.001    0.000    7.316    7.316 {built-in method builtins.exec}
        4    0.001    0.000    0.008    0.002 element.py:792(_find_all)
  989/421    0.001    0.000    0.002    0.000 element.py:2336(_matches)
       40    0.001    0.000    0.011    0.000 response.py:119(decompress)
     5508    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
     7681    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
      305    0.001    0.000    1.719    0.006 ssl.py:1237(recv_into)
     1569    0.001    0.000    0.004    0.000 element.py:2240(search_tag)
    10105    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
     5711    0.001    0.000    0.001    0.000 {method 'start' of 're.Match' objects}
    260/4    0.001    0.000    0.170    0.042 <frozen importlib._bootstrap>:1349(_find_and_load)
      279    0.001    0.000    0.001    0.000 _compiler.py:386(_mk_bitmap)
