('Total Revenue', 'Total Revenue', '270,010,000', '245,122,000', '211,915,000', '198,270,000', '168,088,000')
         724721 function calls (705537 primitive calls) in 1.943 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2781    0.001    0.000    0.001    0.000 __init__.py:523(string_container)
    10105    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
     2672    0.001    0.000    0.002    0.000 _htmlparser.py:178(handle_data)
      311    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:304(acquire)
     4195    0.001    0.000    0.001    0.000 _parser.py:293(tell)
      412    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:482(cache_from_source)
      315    0.001    0.000    1.343    0.004 ssl.py:1237(recv_into)
     6141    0.001    0.000    0.004    0.000 __init__.py:122(unescape)
6285/6280    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
     2800    0.001    0.000    0.001    0.000 element.py:1371(is_empty_element)
      925    0.001    0.000    0.001    0.000 _compiler.py:216(_compile_charset)
     3780    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
     2803    0.001    0.000    0.001    0.000 __init__.py:773(handle_data)
       17    0.001    0.000    0.002    0.000 __init__.py:355(namedtuple)
      202    0.001    0.000    0.005    0.000 _compiler.py:511(_compile_info)
      315    0.001    0.000    1.344    0.004 socket.py:693(readinto)
      325    0.001    0.000    0.003    0.000 css_parser.py:1085(selector_iter)
     1077    0.001    0.000    0.001    0.000 _parser.py:312(_class_escape)
    260/4    0.001    0.000    0.177    0.044 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
      134    0.001    0.000    0.001    0.000 _compiler.py:467(_get_charset_prefix)
       21    0.001    0.000    0.302    0.014 {method 'join' of 'bytes' objects}
     4722    0.001    0.000    0.001    0.000 _parser.py:113(__init__)
      311    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
     2877    0.001    0.000    0.001    0.000 {built-in method builtins.max}
     3349    0.001    0.000    0.004    0.000 {built-in method builtins.next}
     2801    0.001    0.000    0.001    0.000 __init__.py:205(can_be_empty_element)
      202    0.001    0.000    0.077    0.000 _compiler.py:740(compile)
      404    0.001    0.000    0.001    0.000 enum.py:1562(__and__)
      906    0.001    0.000    0.001    0.000 _parser.py:449(_uniq)
     1385    0.001    0.000    0.001    0.000 _parser.py:172(__setitem__)
      239    0.001    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:1491(_get_spec)
      311    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:372(release)
      236    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
    52/14    0.001    0.000    0.010    0.001 css_parser.py:905(parse_selectors)
       10    0.001    0.000    0.003    0.000 enum.py:919(_convert_)
     1503    0.000    0.000    0.001    0.000 enum.py:1544(_get_value)
      832    0.000    0.000    0.001    0.000 _parser.py:372(_escape)
     3812    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
    236/4    0.000    0.000    0.177    0.044 <frozen importlib._bootstrap>:911(_load_unlocked)
     2920    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
     3341    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
       50    0.000    0.000    0.000    0.000 {built-in method builtins.compile}
        1    0.000    0.000    0.001    0.001 connection.py:270(close)
      202    0.000    0.000    0.047    0.000 _parser.py:969(parse)
     2459    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
     2251    0.000    0.000    0.001    0.000 css_parser.py:305(match)
      315    0.000    0.000    1.342    0.004 ssl.py:1095(read)
    536/8    0.000    0.000    0.176    0.022 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
       27    0.000    0.000    0.417    0.015 __init__.py:1(<module>)
     2800    0.000    0.000    0.000    0.000 _markupbase.py:36(getpos)
     2689    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
    18/17    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
     6175    0.000    0.000    0.000    0.000 element.py:1586(__bool__)
       77    0.000    0.000    0.003    0.000 css_parser.py:459(parse_attribute_selector)
      412    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
     1830    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
      215    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:802(spec_from_file_location)
      206    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
     1032    0.000    0.000    0.001    0.000 _compiler.py:398(_simple)
        4    0.000    0.000    0.000    0.000 {built-in method _ssl.txt2obj}
     2801    0.000    0.000    0.000    0.000 __init__.py:453(set_up_substitutions)
      206    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1183(get_data)
       25    0.000    0.000    0.000    0.000 {built-in method posix.listdir}
      924    0.000    0.000    0.000    0.000 {built-in method fromkeys}
     2795    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
     1009    0.000    0.000    0.001    0.000 {built-in method builtins.setattr}
      159    0.000    0.000    0.001    0.000 typing.py:175(_type_check)
        1    0.000    0.000    0.000    0.000 constants.py:1(<module>)
     2624    0.000    0.000    0.000    0.000 parser.py:127(clear_cdata_mode)
      397    0.000    0.000    0.000    0.000 enum.py:850(__setattr__)
